Countries,Brunei Darussalam,Cambodia,China,Cook Islands,Democratic People's Republic of Korea,Fiji,Indonesia,Kiribati,Lao People's Democratic Republic,Malaysia,Marshall Islands,Micronesia (Federated States of),Mongolia,Myanmar,Nauru,Niue,Papua New Guinea,Philippines,Republic of Korea,Samoa,Singapore,Solomon Islands,Thailand,Timor-Leste,Tonga,Tuvalu,Vanuatu,Viet Nam
2021,2.20 ,7.53 ,5.38 ,3.82 ,5.00 ,5.38 ,3.71 ,14.81 ,2.74 ,4.38 ,12.55 ,10.96 ,6.91 ,5.63 ,13.06 ,13.76 ,2.32 ,5.87 ,9.33 ,6.80 ,5.57 ,4.76 ,5.16 ,11.44 ,6.27 ,19.97 ,4.37 ,4.59 
2020,2.39 ,7.11 ,5.59 ,3.65 ,5.00 ,4.77 ,3.42 ,16.99 ,2.06 ,4.08 ,12.59 ,10.85 ,4.67 ,4.62 ,12.68 ,8.97 ,2.30 ,5.16 ,8.35 ,6.19 ,5.71 ,4.80 ,4.36 ,9.96 ,5.33 ,18.86 ,3.99 ,4.30 
2019,2.19 ,6.85 ,5.35 ,2.76 ,5.00 ,4.25 ,2.88 ,12.59 ,2.60 ,3.84 ,14.83 ,11.26 ,4.49 ,4.71 ,11.56 ,7.28 ,2.33 ,4.17 ,8.17 ,5.64 ,4.40 ,4.32 ,3.79 ,6.03 ,4.75 ,22.41 ,3.31 ,4.97 
2018,2.41 ,6.07 ,5.17 ,2.65 ,5.00 ,4.11 ,2.87 ,12.97 ,2.25 ,3.76 ,15.26 ,11.66 ,4.53 ,4.90 ,11.10 ,8.00 ,2.30 ,3.95 ,7.49 ,4.77 ,4.08 ,3.77 ,3.87 ,6.37 ,4.81 ,18.64 ,3.32 ,5.03 
2017,2.27 ,5.65 ,5.07 ,2.80 ,5.00 ,3.19 ,2.90 ,11.46 ,2.53 ,3.71 ,14.39 ,12.20 ,4.34 ,5.08 ,11.49 ,8.51 ,2.23 ,3.96 ,7.05 ,5.16 ,4.36 ,4.15 ,3.85 ,6.76 ,4.86 ,24.28 ,2.76 ,4.99 
2016,2.55 ,6.12 ,4.98 ,2.99 ,5.00 ,3.28 ,3.02 ,10.47 ,2.36 ,3.70 ,15.74 ,13.13 ,4.58 ,5.11 ,10.99 ,7.75 ,2.33 ,3.95 ,6.87 ,5.63 ,4.39 ,4.40 ,3.94 ,6.90 ,4.82 ,18.62 ,2.93 ,4.87 
2015,2.39 ,6.19 ,4.94 ,2.87 ,5.00 ,3.32 ,2.92 ,8.11 ,2.45 ,3.82 ,15.34 ,12.46 ,4.23 ,5.48 ,14.01 ,8.75 ,1.82 ,3.90 ,6.59 ,6.21 ,4.18 ,4.45 ,3.85 ,7.67 ,4.47 ,13.53 ,4.32 ,4.71 
2014,1.91 ,6.70 ,4.78 ,3.29 ,5.00 ,3.37 ,2.96 ,10.09 ,2.30 ,3.71 ,13.21 ,11.72 ,4.21 ,4.39 ,8.39 ,10.83 ,3.27 ,3.70 ,6.40 ,6.25 ,3.87 ,4.89 ,3.68 ,7.60 ,5.01 ,14.69 ,3.65 ,4.69 
2013,1.90 ,7.10 ,4.71 ,3.29 ,5.00 ,3.20 ,2.87 ,9.53 ,2.40 ,3.51 ,13.47 ,12.10 ,4.09 ,3.20 ,9.85 ,9.71 ,3.00 ,4.27 ,6.15 ,6.21 ,3.69 ,4.58 ,3.45 ,8.53 ,3.98 ,14.34 ,4.39 ,4.41 
2012,1.85 ,7.26 ,4.57 ,3.11 ,5.00 ,3.27 ,2.91 ,8.69 ,2.08 ,3.46 ,13.04 ,12.28 ,3.86 ,2.41 ,8.84 ,10.31 ,2.67 ,4.18 ,6.03 ,4.99 ,3.33 ,4.87 ,3.52 ,6.99 ,4.80 ,13.60 ,3.94 ,5.00 
