Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,21.83 ,15.53 ,14.83 ,14.21 ,12.62 ,11.82 ,10.11 ,9.53 ,8.81 ,7.90 ,8.56 ,8.57 ,9.82 ,10.26 ,9.90 ,10.62 ,9.95 ,9.81 ,8.94 ,9.44 ,,
Albania,7.27 ,7.52 ,6.86 ,6.67 ,6.58 ,6.73 ,6.46 ,6.43 ,6.28 ,6.16 ,6.18 ,6.24 ,5.83 ,5.51 ,5.93 ,5.63 ,5.73 ,5.89 ,5.91 ,5.66 ,5.93 ,5.94 
Algeria,5.53 ,6.14 ,5.87 ,6.39 ,6.53 ,6.59 ,6.96 ,6.55 ,6.04 ,6.00 ,5.27 ,5.12 ,5.36 ,4.20 ,3.82 ,3.36 ,3.24 ,3.54 ,3.60 ,3.73 ,3.84 ,3.49 
Andorra,8.33 ,8.79 ,7.32 ,7.38 ,7.07 ,6.91 ,6.92 ,6.77 ,6.80 ,6.71 ,7.62 ,7.68 ,6.08 ,5.67 ,4.92 ,4.97 ,5.59 ,5.29 ,5.55 ,6.00 ,5.86 ,5.95 
Angola,2.96 ,3.22 ,2.48 ,2.59 ,2.79 ,2.71 ,2.61 ,2.43 ,2.73 ,2.40 ,2.65 ,2.70 ,3.84 ,3.32 ,2.97 ,2.69 ,2.85 ,3.97 ,3.55 ,3.33 ,4.48 ,1.91 
Antigua and Barbuda,5.85 ,5.92 ,4.38 ,4.85 ,4.87 ,5.12 ,5.28 ,5.87 ,5.51 ,5.48 ,5.44 ,5.38 ,4.18 ,4.20 ,4.45 ,4.63 ,4.99 ,5.12 ,5.58 ,5.29 ,5.44 ,4.72 
Argentina,9.71 ,10.35 ,10.04 ,10.29 ,10.23 ,9.86 ,10.23 ,9.67 ,9.78 ,9.83 ,9.42 ,9.45 ,9.46 ,8.18 ,7.83 ,7.64 ,7.61 ,7.23 ,6.89 ,7.39 ,8.37 ,8.22 
Armenia,12.34 ,12.24 ,11.38 ,10.01 ,10.36 ,9.95 ,10.12 ,10.18 ,10.32 ,9.13 ,9.38 ,9.24 ,8.44 ,6.64 ,5.50 ,5.85 ,5.86 ,6.06 ,7.18 ,7.61 ,4.65 ,4.20 
Australia,10.54 ,10.68 ,10.22 ,10.06 ,10.12 ,10.09 ,10.18 ,9.83 ,8.75 ,8.67 ,8.54 ,8.42 ,8.54 ,8.25 ,8.05 ,7.98 ,7.97 ,8.09 ,7.88 ,7.88 ,7.68 ,7.59 
Austria,12.10 ,11.39 ,10.49 ,10.35 ,10.38 ,10.35 ,10.37 ,10.37 ,10.29 ,10.20 ,10.03 ,10.22 ,10.23 ,9.73 ,9.53 ,9.53 ,9.63 ,9.71 ,9.55 ,9.39 ,9.27 ,9.20 
Azerbaijan,4.70 ,5.85 ,4.18 ,3.84 ,4.07 ,4.42 ,4.34 ,3.59 ,3.23 ,3.16 ,2.60 ,2.65 ,2.77 ,2.05 ,1.99 ,2.07 ,2.23 ,2.66 ,2.73 ,2.73 ,2.77 ,2.95 
Bahamas,7.14 ,7.65 ,5.82 ,5.98 ,6.70 ,5.68 ,5.16 ,5.54 ,5.59 ,5.32 ,5.32 ,5.26 ,5.15 ,4.86 ,4.50 ,4.31 ,4.03 ,4.05 ,4.02 ,3.81 ,3.92 ,3.80 
Bahrain,4.27 ,4.72 ,3.96 ,4.13 ,4.51 ,4.86 ,4.98 ,4.41 ,4.31 ,4.11 ,3.87 ,4.09 ,4.33 ,3.20 ,3.30 ,3.11 ,3.26 ,3.50 ,3.89 ,3.68 ,3.49 ,3.34 
Bangladesh,2.36 ,2.27 ,2.26 ,2.32 ,2.37 ,2.39 ,2.27 ,2.28 ,2.30 ,2.35 ,2.36 ,2.29 ,2.18 ,2.12 ,2.17 ,2.11 ,2.06 ,2.00 ,1.96 ,1.93 ,1.77 ,1.81 
Barbados,8.09 ,7.37 ,6.20 ,6.45 ,6.65 ,6.84 ,6.83 ,6.97 ,7.40 ,7.78 ,6.90 ,6.77 ,7.15 ,6.48 ,6.06 ,6.58 ,6.78 ,7.31 ,6.69 ,5.86 ,5.53 ,5.33 
Belarus,6.57 ,6.41 ,5.86 ,5.53 ,5.76 ,5.91 ,6.07 ,5.39 ,5.70 ,5.25 ,4.87 ,5.66 ,5.39 ,5.29 ,5.69 ,5.57 ,6.07 ,5.74 ,5.77 ,5.62 ,5.71 ,5.28 
Belgium,11.04 ,11.20 ,10.79 ,10.86 ,10.80 ,10.79 ,10.80 ,10.61 ,10.58 ,10.50 ,10.36 ,10.20 ,10.32 ,9.60 ,9.14 ,9.13 ,9.22 ,9.33 ,9.16 ,8.32 ,8.15 ,8.00 
Belize,4.98 ,5.31 ,4.81 ,4.75 ,4.62 ,4.77 ,4.65 ,4.88 ,4.44 ,4.36 ,4.55 ,4.50 ,4.53 ,4.54 ,4.08 ,3.57 ,3.47 ,3.45 ,3.56 ,3.59 ,3.49 ,2.98 
